baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
0,NA,NA,NA,NA,NA,Gfp_transgene_gene
0,NA,NA,NA,NA,NA,HRA1
8.87546665483069,-0.381293173596521,0.877323424447151,-0.434609589772203,0.663845833038805,0.911905967713866,snR18
0,NA,NA,NA,NA,NA,tA(UGC)A
0,NA,NA,NA,NA,NA,tL(CAA)A
0.18260705726605,1.80573917632358,4.54024676518191,0.397718289272594,0.690837854328686,0.911905967713866,tP(UGG)A
0.23849331000047,-0.601459878288369,4.4810447243463,-0.134223136631628,0.893226131065864,0.961912943711442,tS(AGA)A
61.0521421651477,-0.366675059665983,0.306064901921067,-1.1980304091207,0.230905178790547,0.740554156264605,YAL001C
43.9542239401877,0.348530885311887,0.34841034393301,1.00034597531611,0.31714310503074,0.8040263374074,YAL002W
1004.8747473112,0.323701163698623,0.135416434457003,2.39041269249638,0.0168294499853968,0.238016506936326,YAL003W
0.559585730097883,1.0778036102341,3.05748155373168,0.352513528305227,0.724453174669918,0.919498260157973,YAL004W
7008.48591126474,0.181567628865359,0.125459765885614,1.44721797927553,0.147835882528973,0.740554156264605,YAL005C
66.2958704546784,-0.016086317247295,0.296374333034502,-0.054277025552757,0.956714453518755,0.976440524725327,YAL007C
13.1807102951107,-1.1789509107021,0.659039640565026,-1.78889225796999,0.073632168882627,0.662689519943643,YAL008W
12.548702914899,-0.777747991106929,0.661035369895033,-1.17656032721884,0.239371040408761,0.740554156264605,YAL009W
17.6351923694133,0.547357157022329,0.533470112338624,1.02603153271854,0.304876720987469,0.794284088888406,YAL010C
20.5279019734798,0.224374001575357,0.511203638938217,0.438913154142228,0.66072446500702,0.911905967713866,YAL011W
315.73279611915,0.411184534932253,0.160572812184275,2.56073571446437,0.0104450780284914,0.172343787470107,YAL012W
16.7620549186719,0.177601496075761,0.552299858917639,0.321567158144514,0.747780627323323,0.925378526312612,YAL013W
23.4475829219661,0.419945063298443,0.456245876203361,0.920435855317762,0.357345038847734,0.8040263374074,YAL014C
12.2704604075562,-0.718658869957157,0.649455241377925,-1.10655642478519,0.268485755925106,0.786635879963609,YAL015C
0,NA,NA,NA,NA,NA,YAL016C-A
0,NA,NA,NA,NA,NA,YAL016C-B
174.802351714011,0.0234197507863863,0.192791521411468,0.12147707852983,0.903313168922543,0.961912943711442,YAL016W
108.207183120905,-0.260055730261321,0.236665697339248,-1.09883152981205,0.271841556647859,0.786635879963609,YAL017W
0,NA,NA,NA,NA,NA,YAL018C
136.47139029092,0.393386684562442,0.215374361929053,1.82652513065612,0.0677711993724307,0.662689519943643,YAL019W
0,NA,NA,NA,NA,NA,YAL019W-A
9.39433258468422,-0.516878294077419,0.757231008488627,-0.682589973578957,0.494865971469853,0.890758748645735,YAL020C
120.258252445007,0.214573045979298,0.225663000905384,0.950856122263765,0.341677418293843,0.8040263374074,YAL021C
45.6090689229933,0.100124469346843,0.338869620873097,0.29546605295828,0.76763788116299,0.933854174243353,YAL022C
371.631264133573,0.209016142980448,0.150987032769093,1.38433174787996,0.166256897115959,0.740554156264605,YAL023C
61.8136751787274,0.366622929855386,0.295086664536723,1.24242459560472,0.214079945546988,0.740554156264605,YAL024C
32.3803744332528,0.488136534888633,0.399571168465197,1.22165104345148,0.221839617131327,0.740554156264605,YAL025C
171.114351520986,0.190674011091878,0.200430462133614,0.951322513864023,0.341440681529196,0.8040263374074,YAL026C
12.0178372147055,-0.382283837942529,0.645568322795963,-0.59216635086253,0.553739199615673,0.911905967713866,YAL026C-A
8.73564668505313,-1.56934217503737,0.832884282350847,-1.88422594625971,0.0595344193493706,0.662689519943643,YAL027W
8.09867434674971,-1.06560311570486,0.825953257549476,-1.29014941943132,0.196998784001193,0.740554156264605,YAL028W
207.380809322601,0.232877784514916,0.183912731621195,1.26624069177861,0.205426923164209,0.740554156264605,YAL029C
18.248567816865,-0.768938125494853,0.562598590571226,-1.3667615567862,0.171700056189645,0.740554156264605,YAL030W
36.8913150863286,-0.501061195795524,0.386590988967188,-1.29610159081606,0.194940486994344,0.740554156264605,YAL031C
0,NA,NA,NA,NA,NA,YAL031W-A
18.7235783970406,0.215184763734394,0.51158716769975,0.420621894606797,0.674031203280164,0.911905967713866,YAL032C
14.0066015874775,-0.124181310084941,0.593566816552795,-0.209212015601105,0.83428273288175,0.961912943711442,YAL033W
17.1733910014441,-0.825588830553166,0.559243617854571,-1.47625972687963,0.139874181130019,0.740554156264605,YAL034C
0,NA,NA,NA,NA,NA,YAL034C-B
8.04848844296872,-0.243471534487131,0.845957626893589,-0.287805827085186,0.773495376646009,0.933854174243353,YAL034W-A
559.110065695183,0.480494296108918,0.143121673499726,3.35724341645459,0.000787237727866105,0.0194841337646861,YAL035W
72.2534711005479,0.170854968710141,0.277538942631095,0.615607190437565,0.53815380445411,0.905638443048944,YAL036C
0,NA,NA,NA,NA,NA,YAL037C-A
0.548179323806784,-2.07934234530183,3.00196426573532,-0.692660591944954,0.488522575502866,0.890758748645735,YAL037C-B
4.48899383087362,-0.435128181518957,1.05051659976834,-0.414204003644406,0.678724709970815,0.911905967713866,YAL037W
8144.39311771452,0.525973367548143,0.102994703810763,5.1068001371657,3.27659990106896e-07,1.08127796735276e-05,YAL038W
14.6447446419665,-0.780525826234682,0.609302609523837,-1.28101507204221,0.200188372170156,0.740554156264605,YAL039C
49.2807818130605,0.237688251247362,0.326308323774696,0.728416144883502,0.466358883174761,0.887875566044256,YAL040C
75.8699999040398,0.223102032461594,0.265990821793351,0.838758386313503,0.401604906923667,0.831751623828903,YAL041W
